tweet_table
tweet_table,,,,,,
"@switchfoot http://twitpic.com/2y1zl - Awww, that's a bummer.  You shoulda got David Carr of Third Day to do it. ;D",,,,,,
is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!,,,,,,
@Kenichan I dived many times for the ball. Managed to save 50%  The rest go out of bounds,,,,,,
my whole body feels itchy and like its on fire ,,,,,,0
"@nationwideclass no, it's not behaving at all. i'm mad. why am i here? because I can't see you all over there. ",,,,,,0
@Kwesidei not the whole crew ,,,,,,0
Need a hug ,,,,,,0
"@LOLTrish hey  long time no see! Yes.. Rains a bit ,only a bit  LOL , I'm fine thanks , how's you ?",,,,,,0
@Tatiana_K nope they didn't have it ,,,,,,0
@twittera que me muera ? ,,,,,,0
spring break in plain city... it's snowing ,,,,,,0
I just re-pierced my ears ,,,,,,0
@caregiving I couldn't bear to watch it.  And I thought the UA loss was embarrassing . . . . .,,,,,,0
"@octolinz16 It it counts, idk why I did either. you never talk to me anymore",,,,,,0
"@smarrison i would've been the first, but i didn't have a gun.    not really though, zac snyder's just a doucheclown.",,,,,,0
@iamjazzyfizzle I wish I got to watch it with you!! I miss you and @iamlilnicki  how was the premiere?!,,,,,,0
Hollis' death scene will hurt me severely to watch on film  wry is directors cut not out now?,,,,,,0
about to file taxes ,,,,,,0
@LettyA ahh ive always wanted to see rent  love the soundtrack!!,,,,,,0
@FakerPattyPattz Oh dear. Were you drinking out of the forgotten table drinks? ,,,,,,0
@alydesigns i was out most of the day so didn't get much done ,,,,,,0
"one of my friend called me, and asked to meet with her at Mid Valley today...but i've no time *sigh* ",,,,,,0
"@switchfoot http://twitpic.com/2y1zl - Awww, that's a bummer.  You shoulda got David Carr of Third Day to do it. ;D",,,,,,0
is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!,,,,,,0
@Kenichan I dived many times for the ball. Managed to save 50%  The rest go out of bounds,,,,,,0
